foodId,Title,Category,Ingredients,Total_Ingredients,Steps,Total_Steps,Loves
2,chilli tuna puff kilat super yummy,ikan,"pack kulit puff instant merkedo , isian , kaleng tuna in oil pedas merk kingfisher , bawang putih digoreng ambil minyaknya , boncabe chili flakes , garam , lada , gula , telur rebus potong",9,"1) Langkah 
1.Tumis chili tuna chunk dengan minyak bawang disusul jagung pipil,lalu masukkan gula+garam+merica/lada hitam sesuai selera.
2.Terakhir,taburi Chili Flakes/Boncabe dan Parsley cincang,aduk rata,sisihkan
3.Potong puff seperti di foto step2,isi dengan telur rebus+tuna,lalu lipat,pipihkan samping2nya menggunakan ujung garpu supaya tidak bocor
4.Oles kuning telur,semprot saus+parsley
2) Panggang dengan suhu kurleb 200 derajat sampai keemasan dan kokoh sekitar 18 menit atau sesuaikan oven sendiri
Enjoyyy",3,516
3,perkedel tahu simple,tahu,"tahu petak , batang daun seledri , bawang putih , bawang merah , merica , garam , masako , terigu",8,"1) Giling halus bawang merah+bawang putih+ merica+garam.
2) Hancurkan tahu, tambahkan bumbu halus, daun seledri, aduk merata. Lalu masukkan terigu sedikit2. Koreksi rasa bl krg asin blh tmbhkan masako/ garam halus. Aduk hingga merata.
3) Bentuk adonan perkedel hingga adonan habis.
4) Goreng perkedel dlm minyak panas, jgn lupa dibalik. Angkat dan tiriskan.
5) Perkedel tahu udh jd, makin enk dicocol dg saus sambal",5,481
9,telur crispy,telur,"telur kocok lepas , tepung bumbu , telur kocok celupan , tepung maizena , minyak goreng",5,"1) Dadar telur tipis2 lalu potong2 persegi panjang
2) Campur tepung bumbu dgn maizena,lalu aduk rata
3) Celup telur ke dlm telur kocok lalu gulingkan ke tepung kering sambil di remas2 pelan,lalu goreng dlm minyak panas hingga kuning keemasan,angkat dan sajikan",3,301
19,ayam goreng kecap,ayam,"ayam , potong potong , bawang bombai , memanjang , jahe memarkan , cabe merah , serong , bawang putih , ulek halus cincang halus , batang daun bawang , gula , merica , garam , air , minyak utk",10,"1) Lumuri ayam dg air jeruknipus dan garam, remas2, bilas bersih. Ungkep ayam dg garam dan merica. Boleh jg lgs goreng tp potong agak kecil.
2) Setelah diungkep, goreng ayam hngga sedikit kecokelatan, angkat.
3) Panaskan secukupnya minyak, tumis bawang putih dan jahe, masukkan bawang bombay, tumis hingga harum. Masukkan cabe merah iris, ayam goreng, bubuhi gula garam, merica dan kecap, tuangair. Masak hingga kuah mengental, sesaat sblm diangkat, masukkan daun bawang.
4) Angkat ayam dan sajikan",4,218
22,pindang tongkol suwir sambal matah,ikan,"pindang tongkol , daun jeruk , buang tulang tipis , serai , rajang , bawang merah , rajang , cabe , garam , minyak kelapa , jeruk limau , ambil airnya",8,"1) Suwir kasar pindang tongkol lalu goreng dgn sedikit minyak di atas teflon, aduk terus sampai agak mengering
2) Campur bawang, cabe, sereh, daun jeruk, garam dan minyak kelapa lalu remas"" kemudian campur dgn ikan suwirnya, lalu kucuri dgn jeruk limau, aduk rata
3) Sajikan",3,197
26,telur ceplok masak tauco,telur,"telur ceplok , cabe hijau serong , bawang merah tipis , bawang putih tipis , cabe merah serong , tomat potong , tauco , kecap manis , kecap asin , gula , air",10,"1) Tumis bawang duo bawang dan cabe2an hingga harum,masukan tomat,aduk rata,masukan tauco,kecap manis,kecap asin dan gula,aduk rata
2) Tuangi air secukupnya,tgu mendidih lalu masukan telur ceplok,masak hingga bumbu meresap,jgn lupa tes rasanya,jika rasa sdh pas angkat dan sajikan",2,192
38,ayam kecap manis cabai,ayam,"ayam , bw putih , geprek cincang , cabe merah , serong , merica bubuk , kecap manis , air , garam , minyak sayur , daun bawang , utk taburan",9,"1) Tumis bw putih, cabe dan merica bubuk hingga layu dan baput agak kecokelatan
2) Masukkan ayamnya, aduk hingga berubah warna
3) Beri kecap manis lalu tuang air, bubuhi garam secukupnya, aduk rata lalu tutup wajan hingga airnya sat dan bumbu meresap
4) Sajikan lalu taburi dgn daun bawang",4,164
47,cah timun telur,telur,"timun jepang , kupas potong , telur , kocok lepas , bawang putih , geprek cincang , jahe , geprek , saos tiram , air , garam , gula , olive oil",9,"1) Telurnya dibuat orak-arik
2) Tumis bawang putih dan jahe dgn sedikit minyak sampai wangi dan kecokelatan
3) Masukkan air biarkan mendidih lalu masukkan timun, telur orak-arik, beri sisa bumbu, aduk rata. Masak sebentar saja, angkat sajikan",3,147
49,tofu beef bowl gyudon super healthy,sapi,"bawang bombai , daging sapi tipis , tahu , kecap asin jepang kikkoman shoyu , kaldu jamur daging sapi , jus apel",6,"1) Masukkan irisan bawang bombai ke fried pan, nyalakan api dan tumis sekitar 3 menit
2) Masukkan daging ditengah2 fried pan
3) Masukkan tahu di pinggir fried pan. Kemudian masukkan seluruh bumbu masak ke tengah2 daging
4) Tutup fried pan dan panaskan dengan api sedang selama 5 menit
5) Buka fried pan, aduk daging hingga merata, sambil terus memanaskan dengan api kecil-sedang selama 5 menit. Angkat dan sajikan",5,145
57,cheese egg toast,telur,"roti tawar , belah bentuk segitiga , telur , kocok lepas , sosis , potong koyak , tomat , buang bijinya , potong kotak , merica , garam , keju mozzarella  pake cheddar krn habis , batang daun bawang , halus , boncabe , bawang bombai , cincang halus , minyak goreng",10,"1) Kocok lepas telur, garam, merica bon cabe. Masukkan daun bawang, keju,tomat, sosis, bawang bombay, sisihkan.
2) Panaskan pan anti lengket, beri sedikit minyak. Ambil selembar roti, celup ke kocokan telur (jgn kelamaan biar gk hancur). Masak hingga dua sisinya matang. Angkat. Lakukan hingga habis.
3) Sajikan hangat dg mayones n sambal.",3,139
